observation_time,MAE,type,category
2004-03-04 09:27:46,0.6549090425231558,training,normal
2004-03-04 09:32:46,0.6072242083507924,training,normal
2004-03-04 09:42:46,0.5210916546453381,training,normal
2004-03-04 09:52:46,0.5230497521982361,training,normal
2004-03-04 10:02:46,0.5237487912944518,training,normal
2004-03-04 10:12:46,0.5212634717774565,training,normal
2004-03-04 10:22:46,0.5221393649489848,training,normal
2004-03-04 10:32:46,0.529054676886144,training,normal
2004-03-04 10:42:46,0.5218632581138845,training,normal
2004-03-04 10:52:46,0.5265243047268288,training,normal
2004-03-04 11:02:46,0.5260585689614671,training,normal
2004-03-04 11:12:46,0.5290721647502976,training,normal
2004-03-04 11:22:46,0.5244667812450949,training,normal
2004-03-04 11:32:46,0.5187054439509806,training,normal
2004-03-04 11:42:46,0.5156330598882282,training,normal
2004-03-04 11:52:46,0.5037968760400408,training,normal
2004-03-04 12:02:46,0.5137335824368542,training,normal
2004-03-04 12:12:46,0.5136911426816382,training,normal
2004-03-04 12:22:46,0.5142919090326609,training,normal
2004-03-04 12:32:46,0.5245298404294795,training,normal
2004-03-04 12:42:46,0.5208828998810667,training,normal
2004-03-04 12:52:46,0.5203169642246681,training,normal
2004-03-04 13:02:46,0.5261459354855367,training,normal
2004-03-04 13:12:46,0.5269737705073019,training,normal
2004-03-04 13:22:46,0.51286566043728,training,normal
2004-03-04 13:32:46,0.5171466900097824,training,normal
2004-03-04 13:42:46,0.512535927588007,training,normal
2004-03-04 13:52:46,0.5121349428093819,training,normal
2004-03-04 14:02:46,0.5129337677902711,training,normal
2004-03-04 14:12:46,0.5209536824172059,training,normal
2004-03-04 14:22:46,0.5164779237686007,training,normal
2004-03-04 14:32:46,0.5128966225156335,training,normal
2004-03-04 14:42:46,0.5059953719793321,training,normal
2004-03-04 14:52:46,0.49624838582903513,training,normal
2004-03-04 15:02:46,0.49809696009478294,training,normal
2004-03-04 15:12:46,0.49072565250970407,training,normal
2004-03-04 15:22:46,0.49866521413980613,training,normal
2004-03-04 15:32:46,0.4891151098031384,training,normal
2004-03-04 15:42:46,0.49558702118390807,training,normal
2004-03-04 15:52:46,0.4915465647469104,training,normal
2004-03-04 16:02:46,0.4893307754993058,training,normal
2004-03-04 16:12:46,0.47941448617707416,training,normal
2004-03-04 16:22:46,0.47736096423509866,training,normal
2004-03-04 16:32:46,0.47396688217209143,training,normal
2004-03-04 16:42:46,0.4676007181328523,training,normal
2004-03-04 16:52:46,0.45998149873417105,training,normal
2004-03-04 17:02:46,0.4637869323803102,training,normal
2004-03-04 17:12:46,0.46688014214528667,training,normal
2004-03-04 17:22:46,0.46108437003753333,training,normal
2004-03-04 17:32:46,0.47182524498115624,training,normal
2004-03-04 17:42:46,0.47297304450658184,training,normal
2004-03-04 17:52:46,0.4859568143475633,training,normal
2004-03-04 18:02:46,0.46359939172079934,training,normal
2004-03-04 18:12:46,0.4533317231630787,training,normal
2004-03-04 18:22:46,0.4582933360128609,training,normal
2004-03-04 18:32:46,0.44067335139570324,training,normal
2004-03-04 18:42:46,0.4421798070031472,training,normal
2004-03-04 18:52:46,0.4437699699112076,training,normal
2004-03-04 19:02:46,0.44058557578853397,training,normal
2004-03-04 19:12:46,0.4362615369898331,training,normal
2004-03-04 19:22:46,0.4471562547692062,training,normal
2004-03-04 19:32:46,0.45673434761650056,training,normal
2004-03-04 19:42:46,0.45918429927661314,training,normal
2004-03-04 19:52:46,0.4508732671194606,training,normal
2004-03-04 20:02:46,0.45562466282189645,training,normal
2004-03-04 20:12:46,0.45314845199849785,training,normal
2004-03-04 20:22:46,0.4619724165555601,training,normal
2004-03-04 20:32:46,0.4649993315523567,training,normal
2004-03-04 20:42:46,0.46359599298336773,training,normal
2004-03-04 20:52:46,0.45550990546734527,training,normal
2004-03-04 21:02:46,0.47315626340249806,training,normal
2004-03-04 21:12:46,0.4677496800324154,training,normal
2004-03-04 21:22:46,0.4613494050574873,training,normal
2004-03-04 21:32:46,0.4340486222991573,training,normal
2004-03-04 21:42:46,0.447650460305853,training,normal
2004-03-04 21:52:46,0.4573252466461834,training,normal
2004-03-04 22:02:46,0.46693338425156605,training,normal
2004-03-04 22:12:46,0.46764689620711464,training,normal
2004-03-04 22:22:46,0.4922567921286801,training,normal
2004-03-04 22:32:46,0.4688399012036445,training,normal
2004-03-04 22:42:46,0.4732419440646727,training,normal
